"Date","Open","High","Low","Close"
"13 Dec 2017","25118.2","25270.75","24938.55","25000.35"
"12 Dec 2017","25413.4","25416.2","25108.6","25125.45"
"11 Dec 2017","25434.75","25448.85","25318.7","25404.85"
"08 Dec 2017","25145.5","25367.7","25145.5","25321.15"
"07 Dec 2017","24935.3","25097.4","24875.35","25057.25"
"06 Dec 2017","25066.3","25077.45","24813.6","24851.8"
"05 Dec 2017","25030.75","25217.7","24921.3","25124.85"
"04 Dec 2017","25295.05","25297.2","24993.35","25075.1"
"01 Dec 2017","25409.55","25441.35","25152.65","25191.95"
"30 Nov 2017","25693.8","25700.85","25246.85","25332.4"
"29 Nov 2017","25829.65","25877.75","25746.8","25795.7"
"28 Nov 2017","25830.45","25953.5","25795.5","25846.4"
"27 Nov 2017","25693.05","25931.85","25673.5","25891.95"
"24 Nov 2017","25776.6","25849","25749.1","25779.65"
"23 Nov 2017","25826.3","25838.55","25620.95","25736.25"
"22 Nov 2017","25805.65","25831.95","25665.85","25766.65"
"21 Nov 2017","25829.3","25871.1","25726.5","25757.5"
"20 Nov 2017","25733.7","25803.15","25681.7","25768.6"
"17 Nov 2017","25875.7","25924.9","25679.55","25728.4"
"16 Nov 2017","25292.9","25496.05","25273.7","25446.6"
"15 Nov 2017","25241.65","25318.05","25166.35","25218.9"
"14 Nov 2017","25352.55","25404.8","25223.1","25284.6"
"13 Nov 2017","25570.25","25611.55","25337.25","25358.3"
"10 Nov 2017","25250.9","25598.55","25237.2","25498.95"
"09 Nov 2017","25281","25385.2","25166.15","25291.35"
"08 Nov 2017","25375.8","25435.6","25119.5","25184.35"
"07 Nov 2017","25669.1","25695.75","25248.95","25300.8"
"06 Nov 2017","25569","25694.6","25529.5","25571.15"
"03 Nov 2017","25531.4","25695.5","25394.95","25650.7"
"02 Nov 2017","25508.4","25598.75","25405.5","25427.3"
"01 Nov 2017","25197.3","25549.35","25171.75","25490.45"
"31 Oct 2017","25042.1","25078.65","24948.1","25019.35"
"30 Oct 2017","24873.65","25064.85","24808.55","24988.55"
"27 Oct 2017","24887.6","24995.7","24798.65","24839.55"
"26 Oct 2017","24953.95","25186.05","24864.6","25022.2"
"25 Oct 2017","24980.65","25157.8","24560.75","25035.9"
"24 Oct 2017","24141.95","24293.25","24032.65","24222.15"
"23 Oct 2017","24085.45","24151","23912.55","24088.9"
"19 Oct 2017","24238.4","24255.3","23923.7","24009.75"
"18 Oct 2017","24354.75","24454.65","24270.05","24313.75"
"17 Oct 2017","24697.25","24809.15","24571.85","24645.6"
"16 Oct 2017","24815.4","24878.65","24516.55","24703.05"
"13 Oct 2017","24411.1","24779.75","24387.8","24689.15"
"12 Oct 2017","24151.45","24393.4","23978.4","24361.25"
"11 Oct 2017","24411.45","24460.25","24054.25","24107.45"
"10 Oct 2017","24304.8","24379.75","24273.65","24347.45"
"09 Oct 2017","24209.55","24311.1","24156.05","24251.9"
"06 Oct 2017","24083.55","24242.05","24074.35","24190"
"05 Oct 2017","24114.75","24188.3","24033.35","24058.05"
"04 Oct 2017","24124.15","24230.45","24058.65","24113.3"
"03 Oct 2017","24200.6","24226.8","24007.25","24103.4"
"29 Sep 2017","24114","24227.45","24004.8","24053"
"28 Sep 2017","23804.05","24074.2","23611.1","24008.15"
"27 Sep 2017","24308.7","24331.85","23766.6","23812.95"
"26 Sep 2017","24105.6","24236.95","24017.4","24199.15"
"25 Sep 2017","24361.55","24363.8","24015.45","24165.05"
"22 Sep 2017","24704.55","24709.7","24340","24368.85"
